Food ID	Food name	Energy (kJ)	Protein (g)	Fat, total (g)	Fat, saturated (g)	Available carbohydrate (g)	Total sugars (g)	Sodium (mg)
13A11603	Potato, coliban, peeled, baked, no added fat	371	3	0	0	17.4	1.5	7
13A11605	Potato, desiree, peeled, boiled, no added salt	248	2.3	0	0	10.9	1.7	5
13A11606	Potato, desiree, peeled, baked, no added fat	369	3.5	0	0	16.2	2.6	8
13A11616	Bean, red, seed only, fresh, boiled, no added salt, drained	608	13.8	0.4	0.1	15.8	1.3	2
13A11618	Cabbage, savoy, boiled, no added salt, drained	96	1.8	0.1	0	2.4	2.4	23
13A11619	Squash, scallopini, boiled, no added salt, drained	102	2.6	0.2	0	2.5	2.4	10
13A11620	Zucchini, golden, boiled, no added salt, drained	96	2.6	0.4	0	1.3	1.3	1
13A11625	Kohlrabi, peeled, boiled, no added salt, drained	175	3.9	0.1	0	4.4	4.4	16
13A11630	Potato, coliban, peeled, boiled, no added salt	235	1	0	0	11.6	0	10
13A11664	Flour, potato	1509	6.9	0.5	0.2	78	3.5	55
13A11665	Seaweed, wakame, fresh, raw	181	3	0.6	0.1	4.6	4.6	606
13A20024	Flour, soy, full fat	1835	34.5	20.7	3	22.4	12.9	13
13A20027	Sprouts, bean, canned, no added salt, drained	107	3.1	0.1	0	1.6	1	1
13A20032	Bean, borlotti, dried, cooked, no added fat	645	8.7	0.6	0.2	26.3	1.4	1
13A20033	Bean, cannellini, dried, cooked, no added fat	454	8.3	0.4	0.1	14.1	0.8	2
13A20034	Bean, broad, dried, cooked, no added fat	372	9.2	0.7	0.1	8.6	0.9	4
13A20036	Bean, lima, canned, drained	299	5.2	0.2	0	9.8	0.9	418
13A20038	Cowpea, dried, cooked, no added fat	446	7.7	0.5	0.1	14.3	0.8	4
13A20048	Pea, blue, dried, boiled, no added fat	250	5.5	0.4	0	6.4	0.3	3
13A20053	Lentil, canned, drained	234	4.8	0.3	0	7.1	0.4	284
13A20056	Bean, mung,  dried, cooked, no added fat	390	7	0.4	0.1	11.5	0.4	2
13A20059	Lentil, savoury brown, canned	275	4.2	0.3	0	9.9	0.2	310
13A20079	Bean, cannellini, canned in brine, drained	390	6.2	0.6	0.2	12.2	2.1	270
13A20082	Bean, lima, dried, boiled, no added salt, drained	340	6.4	0.3	0.1	10.2	0.6	7
13A20085	Bean, red kidney, canned in brine, drained	429	6.6	0.6	0.1	14.1	2.4	320
13A20088	Bean, soya, dried, soaked, boiled, no added salt, drained	599	13.5	7.7	1.1	1.4	1.4	9
13A20089	Bean, soya, dried	1677	31.3	20.2	2.9	12.5	6.7	6
13A20090	Bean, mixed (red kidney, lima & butter beans and chickpeas), canned in brine, drained	413	6.4	0.4	0.1	13.8	2.5	310
13A20091	Chickpea, canned in brine, drained	483	6.3	2.1	0.2	15.2	0.6	250
13A20092	Flour, soya, low fat	1593	46.5	6.7	0.8	27.8	19.8	18
13A20093	Lentil, dried	1272	24.5	2	0.3	38.6	1.5	5
13A20094	Lentil, dried, soaked, boiled, no added salt, drained	325	6.8	0.4	0.1	9.5	0.5	8
13A20095	Pea, split, dried	1372	23	2	0.2	47.9	2.5	7
13A20096	Pea, split, dried, soaked, boiled, no added salt, drained	378	6.6	0.4	0	12.8	0.5	9
13A20097	Chickpea, canned in brine, drained, boiled, drained	508	6.6	2.2	0.2	16	0.6	197
13A20098	Chickpea, dried, boiled, no added salt, drained	483	6.3	2.1	0.2	15.2	0.6	250
13A20099	Bean, black, boiled, no added salt, drained	495	8.9	0.5	0.1	15	0.6	1
13A20100	Bean, haricot, dried	1211	21.9	2.2	0.3	34.8	3.5	4
13A20101	Bean, haricot, dried, boiled, no added salt, drained	452	8.2	0.7	0.1	12.6	4.7	8
13A20102	Bean, red kidney, dried	1241	22.5	1.8	0.3	35.6	3.4	3
13A20103	Bean, red kidney, dried, boiled, no added salt, drained	366	7.9	0.5	0.1	9.1	0.6	8
13A20105	Bean, lima, dried	1294	21.4	1.7	0.4	40.6	3.7	3
13A20109	Bean, soya, canned, drained	425	8.6	5.5	0.8	1.9	1.9	370
13B10220	Mushroom, dried	1000	38.8	3.2	0.6	3.2	3.2	91
13B20075	Soy beverage, regular fat, ultra high temperature	163	1.6	3.6	0.9	0	0	76
13B20104	Soy beverage, powder, dry (not infant food)	2004	21.9	26.3	3.2	36.9	11.3	180
13B20109	Lecithin, soy, granules	2628	6	62.4	14.1	4.9	4.4	11
13B20110	Miso, soyabean paste	823	11.7	6	1.1	21.1	6.2	3728
13B20126	Tofu (soy bean curd), firm, as purchased	530	12	7.3	1	0	0	40
13B20127	Tofu (soy bean curd), silken or soft, as purchased	259	7.6	2	0.3	2.6	0.8	21
13B20129	Soy-based, cheese	1521	15.1	28.5	7.2	12.1	0	13
